Name,Display Order,Provincial Description,Regulation,Resource Label 1,Resource Link 1,Resource Label 2,Resource link 2,Resource Label 3,Resource link 3,,
Respiratory Therapist,5,"Respiratory Therapists provide a wide variety of therapeutic and diagnostic care to treat and manage patients/clients/residents of all ages who have breathing problems due to cardiopulmonary and associated disorders. RTs promote wellness and prevention through services such as respiratory rehabilitation programs, chronic disease self-mangement educaiton, and smoking cessation coaching. They also work with pulmonary function clinics and sleep disorder breathing clinics and provide home care respiratory services in the community.",Unregulated,National Competency Framework RRT,https://nartrb.ca/wp-content/uploads/2024/06/NCF-2024_HighRes-Print-Version.pdf,,,,,,
Physiotherapist,1,"Physiotherapists assess patients/clients/residents and plan and carry out individually designed treatment programs to maintain, improve or restore physical functioning and mobility, alleviate pain, and prevent physical dysfunction in patients/clients/residents.",Regulated,College of Physical Therapists of British Columbia Standards of Practice,https://cptbc.org/legislation-standards/standards/,National Competency Profile PTs,https://www.cpta.ab.ca/docs/167/Competency_Profile_Final_EN_2017.pdf,,,,
Rehabilitation Assistant,3,"Under the supervision of an occupational therapist, physiotherapist, recreation therapist or speech/language pathologist, rehabilitation assistants work with patients/clients/residents to achieve their rehabilitation goals through the implementation of assigned individual or group rehabilitative activities and/or treatment interventions.",Unregulated,,,,,,,,
Occupational Therapist,2,"An Occupational Therapist (OT) develops individual and group programs with patients affected by illness, injury, developmental disorders, emotional or psychological problems and ageing to maintain, restore or increase their ability to care for themselves and to engage in work, school or leisure. OTs also develop and implement health promotion programs with patients.",Regulated,College of Health and Care Professionals - Scope of Practice Statements,https://chcpbc.org/registrants/occupational-therapists/resources/#standards,National Competency Profile OTs,https://acotro-acore.org/wp-content/uploads/2021/11/OT-Competency-Document-EN-HiRes.pdf,BC Chapter of the Canadian Association of Occupational Therapists (CAOT-BC) ,https://caot.ca/site/membership/chapters/caot-bc?nav=sidebar&banner=2 ,,
Clinical Pharmacist,4,"Pharmacists provide clinical pharmacy services including individualization of patient medication therapy; patient medication counselling; and consultation with physicians, nurses and other health care providers to develop and discuss therapeutic plans and assist in the development of drug therapy.",Regulated, College of Pharmacists of British Columbia Professional Practice Policies and Guides,https://www.bcpharmacists.org/professional-practice-policies-and-guides,National Competency Profile Pharm,https://napra.ca/wp-content/uploads/2022/09/NAPRA-Comp-for-Cdn-PHARMACISTS-at-Entry-to-Practice-March-2014-b.pdf,,,,
Social Worker,6,"Social Workers helps individuals, families, groups, communities, and organizations develop skills and resources they need to enhance their social functioning and social environments. They assess and develop intervention plans for patients/clients/residents facing difficult life challenges including mental and physical illness and connect them to resources; provide counselling and support services; mediate conflict; advocate for services; and strengthen capacity to successfully manage their challenges.
Registered social Workers have a Bachelor's or Master's degree in Social Work and must be registered with the BC College of Social Workers.",Regulated,College of Social Workers Code of Ethics and Standards of Practice,https://bccsw.ca/wp-content/uploads/2016/09/BCCSW-CodeOfEthicsStandardsApprvd.pdf,National Competency Profile SW,https://www.ccswr-ccorts.ca/wp-content/uploads/2017/03/Competency-Profile-FINAL-Eng-PG-1-51.pdf,The BC Association of Social Workers,https://www.bcasw.org/,,
Registered Nurse ,13,"• Registered Nurses (RNs) are regulated care providers who work independently and in teams with a focus on:
(a)  promotion, maintenance and restoration of health;
(b) prevention, treatment and palliation of illness and injury, primarily by (i) assessing health status, (ii) planning, implementing, and evaluating interventions, and (iii) coordinating health services; and
(c) aiding a physician or nurse practitioner to provide medical assistance in dying.",Regulated,RN Scope of Practice,https://www.bccnm.ca/Documents/standards_practice/rn/RN_ScopeofPractice.pdf,,,,,,
Registered Psychiatric Nurse,12,"• Registered Psychiatric Nurses (RPNs) are regulated care providers who work independently and in teams to support 
(b) prevention, treatment and palliation of illness and injury, primarily by (i) assessing health status, (ii) planning, implementing, and evaluating interventions, and (iii) coordinating health services
• RPNs care for patients of all ages with a focus on those experiencing issues related to mental health, substance use or behavioural issues, addictions, and physical and developmental disabilities. ",Regulated,RPN Scope of Practice,https://www.bccnm.ca/Documents/standards_practice/rpn/RPN_ScopeofPractice.pdf,,,,,,
Licensed Practical Nurse,11,"• Licensed practical nurses (LPNs) are regulated health care providers who work independently and in teams to care for stable patients with less acute and/or complex care needs who have predictable responses and outcomes.
• LPNs with additional training/education may also be able to care for individuals with more complex care needs in collaboration with team members to assess and set priorities and determine if additional resources are needed in escalation of care.",Regulated,LPN Scope of Practice,https://www.bccnm.ca/Documents/standards_practice/lpn/LPN_ScopeOfPractice.pdf,,,,,,
Health Care Assistant,10,"• Health Care Assistants (HCAs) are direct care staff who work as part of a health care team and receive direction and supervision from regulated health professionals. 
• HCAs provide personal care assistance and supports to a variety of clients including older adults, people living with disabilities and/or chronic illnesses, and clients receiving palliative care. Duties include client mobility support, daily living activities, and personal care. Health Care Assistants can also be referred to as Health Care Aides in some settings.",Unregulated,,,,,,,,
