Name,Display Order,Provincial Description
Respiratory Therapist,5,Respiratory Therapists provide a wide variety of therapeutic and diagnostic care to treat and manage patients/clients/residents of all ages who have breathing problems due to cardiopulmonary and associated disorders. RTs promote wellness through services such as respiratory rehabilitation programs and smoking cessation coaching. They also work with sleep disorder breathing clinics and provide home care respiratory services in the community. 
Physiotherapist,1,"Physiotherapists assess patients/clients/residents and plan and carry out individually designed treatment programs to maintain, improve or restore physical functioning and mobility, alleviate pain, and prevent physical dysfunction in patients/clients/residents."
Rehabilitation Assistant,3,"Under the supervision of an occupational therapist, physiotherapist, or speech language pathologist, rehabilitation assistants work with patients/clients/residents to achieve their rehabilitation goals through the implementation of assigned individual or group rehabilitative activities and/or treatment interventions."
Occupational Therapist,2,
Clinical Pharmacist,4,"Pharmacists provide clinical pharmacy services including individualization of patient medication therapy; patient medication counselling; and consultation with physicians, nurses and other health care providers to develop and discuss therapeutic plans and assist in the development of drug therapy."
Registered Social Worker,6,Social Workers assess and develop intervention plans for patients/clients/residents facing difficult life challenges including mental and physical illness and connect them to resources; provide counselling and support services; mediate conflict; advocate for services; and strengthen capacity to successfully manage their challenges.
Registered Nurse (RN),13,"• Registered Nurses (RNs) are regulated care providers who work independently and in teams with a focus on:
(a)  promotion, maintenance and restoration of health;
(b) prevention, treatment and palliation of illness and injury, primarily by (i) assessing health status, (ii) planning, implementing, and evaluating interventions, and (iii) coordinating health services; and
(c) aiding a physician or nurse practitioner to provide medical assistance in dying."
Registered Psychiatric Nurse (RPN),12,"• Registered Psychiatric Nurses (RPNs) are regulated care providers who work independently and in teams to support 
(b) prevention, treatment and palliation of illness and injury, primarily by (i) assessing health status, (ii) planning, implementing, and evaluating interventions, and (iii) coordinating health services
•RPNs care for patients of all ages with a focus on those experiencing issues related to mental health, substance use or behavioural issues, addictions, and physical and developmental disabilities. "
Licensed Practical Nurse (LPN),11,"• Licensed practical nurses (LPNs) are regulated health care providers who work independently and in teams to care for stable patients with less acute and/or complex care needs who have predictable responses and outcomes.
• LPNs with additional training/education may also be able to care for individuals with more complex care needs in collaboration with team members to assess and set priorities and determine if additional resources are needed in escalation of care."
Health Care Assistant (HCA),10,"•Health Care Assistants (HCAs) are direct care staff who work as part of a health care team and receive direction and supervision from regulated health professionals. 
•HCAs provide personal care assistance and supports to a variety of clients including older adults, people living with disabilities and/or chronic illnesses, and clients receiving palliative care. Duties include client mobility support, daily living activities, and personal care. Health Care Assistants can also be referred to as Health Care Aides in some settings."
Indigenous Liaison,9,
Unit Clerk,7,"Unit clerks perform clerical functions related to nursing units, the scope of the role may differ based on unit and facility needs, e.g., performing hospital bed allocation by identifying available booking option, assigning beds,  transcribing physicians orders, maintaining supplies and equipment, answering patient call bells, and portering patients."
Housekeeper,8,
